       Timestamp    Open    High     Low   Close  Volume
03-05-25 05:00AM $88,461 $90,645 $88,350 $89,916  520.09
03-05-25 04:00AM $87,737 $88,808 $87,649 $88,452  338.83
03-05-25 03:00AM $87,599 $87,903 $87,569 $87,740  174.59
03-05-25 02:00AM $87,459 $87,700 $87,322 $87,595  180.60
03-05-25 01:00AM $87,117 $87,547 $86,965 $87,459  117.86
03-05-25 12:00AM $86,891 $87,231 $86,806 $87,117  116.63
03-04-25 11:00PM $86,810 $87,383 $86,685 $86,891  317.49
03-04-25 10:00PM $87,438 $87,871 $86,750 $86,810  370.52
03-04-25 09:00PM $87,608 $87,865 $87,010 $87,449  382.11
03-04-25 08:00PM $86,764 $87,775 $86,568 $87,608  550.47
03-04-25 07:00PM $87,248 $87,255 $86,329 $86,767  521.68
03-04-25 06:00PM $87,465 $87,731 $87,057 $87,250  323.11
03-04-25 05:00PM $87,501 $87,951 $87,384 $87,465  262.71
03-04-25 04:00PM $86,834 $88,977 $86,569 $87,501 1101.11
03-04-25 03:00PM $88,198 $88,847 $86,654 $86,814 1813.64
03-04-25 02:00PM $86,747 $88,490 $86,527 $88,206 1743.29
03-04-25 01:00PM $85,412 $86,925 $85,102 $86,748 1526.67
03-04-25 12:00PM $83,510 $85,500 $83,352 $85,419 1618.78
03-04-25 11:00AM $82,912 $83,750 $81,953 $83,513  979.78
03-04-25 10:00AM $83,138 $83,312 $81,444 $82,908 1914.25
03-04-25 09:00AM $82,755 $84,900 $82,010 $83,142 2682.79
03-04-25 08:00AM $83,719 $83,720 $82,252 $82,752  957.16
03-04-25 07:00AM $83,892 $83,933 $83,229 $83,720  595.76
03-04-25 06:00AM $83,907 $84,330 $83,650 $83,891  252.19
03-04-25 05:00AM $83,699 $84,008 $83,450 $83,918  273.11
03-04-25 04:00AM $83,850 $84,146 $83,583 $83,695  291.63
03-04-25 03:00AM $83,134 $83,893 $82,982 $83,848  523.98
03-04-25 02:00AM $83,808 $83,961 $83,087 $83,134  325.29
03-04-25 01:00AM $84,216 $84,355 $83,531 $83,808  295.71
03-04-25 12:00AM $83,374 $84,500 $83,305 $84,220  412.73
03-03-25 11:00PM $83,940 $84,001 $83,275 $83,357  450.89
03-03-25 10:00PM $83,862 $84,396 $83,566 $83,930  573.21
03-03-25 09:00PM $83,326 $84,350 $82,405 $83,851 1467.19
03-03-25 08:00PM $85,971 $86,136 $82,579 $83,318 2082.93
03-03-25 07:00PM $86,161 $86,726 $85,806 $85,972  662.49
03-03-25 06:00PM $86,579 $86,747 $85,927 $86,161  810.49
03-03-25 05:00PM $85,315 $86,977 $85,240 $86,579  604.73
03-03-25 04:00PM $85,990 $86,500 $85,007 $85,315  884.44
03-03-25 03:00PM $85,517 $86,336 $85,085 $85,990 2288.75
03-03-25 02:00PM $87,068 $87,681 $85,450 $85,511 2209.00
03-03-25 01:00PM $90,246 $90,392 $86,702 $87,076 2832.57
03-03-25 12:00PM $90,083 $90,939 $89,825 $90,235  608.35
